"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 16 11:16:40 MSK 2025","Mon Jun 16 11:16:41 MSK 2025","411","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","step_1","step_1",""
"passed","Mon Jun 16 11:17:10 MSK 2025","Mon Jun 16 11:17:11 MSK 2025","327","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","clearFields","clearFields",""
"passed","Mon Jun 16 11:17:15 MSK 2025","Mon Jun 16 11:17:17 MSK 2025","2528","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","step_7","step_7",""
"passed","Mon Jun 16 11:17:09 MSK 2025","Mon Jun 16 11:17:10 MSK 2025","954","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","registrationApplication","registrationApplication",""
"passed","Mon Jun 16 11:16:27 MSK 2025","Mon Jun 16 11:16:28 MSK 2025","711","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","step_5","step_5",""
"passed","Mon Jun 16 11:16:26 MSK 2025","Mon Jun 16 11:16:27 MSK 2025","729","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","step_4","step_4",""
"passed","Mon Jun 16 11:17:42 MSK 2025","Mon Jun 16 11:17:42 MSK 2025","107","All Test Suite","Smoke Test","smoke.test.CheckDuplicateSpecialties","smoke.test.CheckDuplicateSpecialties","auth","auth",""
"passed","Mon Jun 16 11:17:42 MSK 2025","Mon Jun 16 11:17:43 MSK 2025","1006","All Test Suite","Smoke Test","smoke.test.CheckDuplicateSpecialties","smoke.test.CheckDuplicateSpecialties","receptionPlan","receptionPlan",""
"passed","Mon Jun 16 11:16:37 MSK 2025","Mon Jun 16 11:16:38 MSK 2025","1062","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","registrationApplication","registrationApplication",""
"passed","Mon Jun 16 11:16:32 MSK 2025","Mon Jun 16 11:16:32 MSK 2025","651","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","step_8","step_8",""
"passed","Mon Jun 16 11:17:25 MSK 2025","Mon Jun 16 11:17:27 MSK 2025","2057","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","examinationStep_4","examinationStep_4",""
"passed","Mon Jun 16 11:17:14 MSK 2025","Mon Jun 16 11:17:15 MSK 2025","756","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationComparisonFields","smoke.test.Registration.RegistrationComparisonFields","step_6","step_6",""
"passed","Mon Jun 16 11:16:28 MSK 2025","Mon Jun 16 11:16:29 MSK 2025","768","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","step_6","step_6",""
"passed","Mon Jun 16 11:16:23 MSK 2025","Mon Jun 16 11:16:24 MSK 2025","1067","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","registrationApplication","registrationApplication",""
"passed","Mon Jun 16 11:16:52 MSK 2025","Mon Jun 16 11:16:52 MSK 2025","182","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","step_5","step_5",""
"passed","Mon Jun 16 11:16:43 MSK 2025","Mon Jun 16 11:16:44 MSK 2025","280","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","step_2","step_2",""
"passed","Mon Jun 16 11:16:24 MSK 2025","Mon Jun 16 11:16:25 MSK 2025","422","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationClassic","smoke.test.Registration.RegistrationClassic","step_1","step_1",""
"passed","Mon Jun 16 11:17:03 MSK 2025","Mon Jun 16 11:17:03 MSK 2025","119","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","step_8","step_8",""
"passed","Mon Jun 16 11:16:38 MSK 2025","Mon Jun 16 11:16:38 MSK 2025","352","All Test Suite","Smoke Test","smoke.test.Registration.RegistrationMandatoryFields","smoke.test.Registration.RegistrationMandatoryFields","clearFieldsStep_1_NotError","clearFieldsStep_1_NotError",""
